Key,Type,Desc,English,Chinese (Simplified),French,German,Italian,Polish,Russian,Spanish,UI_Tester
PX_SCORPION_RESEARCHDEF_COMPLETE,Text,,"The ultimate purpose of the Scorpion is to make all forms of armor obsolete. Surprisingly, it seems like Mr. Antonasov’s work has provided a foundational basis for a lot of technologies with practical applications developed first by Vanadium and later New Jericho.",,,,,,,,
PX_SCORPION_RESEARCHDEF_NAME,Text,,Scorpion,,,,,,,,
PX_SCORPION_RESEARCHDEF_UNLOCK,Text,,This blueprint by renowned rocket engineer John Antonasov is for some sort of long rifle with incredible penetration and damage capacity.,,,,,,,,
PX_SCYTHER_RESEARCHDEF_COMPLETE,Text,,"According to the notes accompanying the recovered data, Jules Godfry designed the Scyther after his disappointing performance in some sort of corporate ludic e-competition called ""Chaos Reborn 2022 Annual Tournament”. In psychological terms it is the expression of unfathomable anger directed at all things, living and inanimate, though its practical military applications in the real world were doubtful until the appearance of the Pandoran monstrosities.",,,,,,,,
PX_SCYTHER_RESEARCHDEF_NAME,Text,,Scyther,,,,,,,,
PX_SCYTHER_RESEARCHDEF_UNLOCK,Text,,"A curious design by Jules Godfry, head of NG+ Weapon Systems at Vanadium, that looks like an electro blade powered by a miniaturized fusion reactor.",,,,,,,,
PX_SHARDGUN_RESEARCHDEF_COMPLETE,Text,,"The Shard Gun is perhaps the less theoretically impressive of the NG+ Weapon Systems designs. But what it lacks in mathematical panache, it compensates in sheer effectiveness; in the words of its promoter, Emmanuel ""SG"" Erickson, ""it will be a bad*** shotgun that will **** you up, you trespassing ***********"" (Mr. Erickson's streams were notable for their profanity. They tragically ended at the beginning of the First Mist, when a Triton invaded Emmanuel's Malibu beachfront, ironically vindicating the streamer's plea for a next generation home defense weapon).",,,,,,,,
PX_SHARDGUN_RESEARCHDEF_NAME,Text,,Shard Gun,,,,,,,,
PX_SHARDGUN_RESEARCHDEF_UNLOCK,Text,,"Emmanuel ""Shotgun"" Erickson, publicist, streaming celebrity and the face of NG+ Weapon Systems, advertised the work of his team as ""the next generation home defense weapons against next generation home invaders"".",,,,,,,,
KEY_K2_MISSION_FLAVOUR_TEXT,Text,,DOWNLOAD IMPOSSIBLE WEAPONS RESEARCH,,,,,,,,
KEY_MARKETPLACE_HAVEN_ADDITIONAL_HEADER,Text,,The Bazaar,,,,,,,,
KEY_MARKETPLACE_DESCRIPTION_1,Text,,"The leader of the haven, Sol ""Maker"" Markus, is fascinated by the esoteric and the occult. He has requested that we retrieve a Drop-Ka stone that he has located in a Pre-War collection. ",,,,,,,,
KEY_MARKETPLACE_DESCRIPTION_2,Text,,Sol is happy and reminds us to do as we are told if we want to receive further blessings,,,,,,,,
KEY_MARKETPLACE_DESCRIPTION_3,Text,,Sol has received the Bionics tech. He hints that Subject 24 should be destroyed.,,,,,,,,
KEY_MARKETPLACE_DESCRIPTION_4,Text,,Sol is happy because we destroyed the fortress,,,,,,,,
KEY_MARKETPLACE_DESCRIPTION_5,Text,,Sol is most happy because we stole Bionics tech and destroyed the fortress,,,,,,,,
DLC5/KEY_MARKETPLACE_HAVEN_HEADER,Text,,BAZAAR HAVEN,,,,,,,,
DLC5/KEY_KAOS_SYNDICATE,Text,,The Bazaar,,,,,,,,
PROG_KE1_TITLE,Text,,Mind Tricks,,,,,,,,
PROG_KE1_CHOICE_0_TEXT,Text,,Enter the crypt and retrieve the Drop-Ka stone. ,,,,,,,,
PROG_KE1_TEXT_GENERAL_0,Text,,"The coordinates provided by the Maker take you to the overgrown ruins of the collector's estate. It would have taken you weeks to find the Drop-Ka stone, but for the precise instructions given by Markus, directing you towards the ancient family crypt. ",,,,,,,,
PROG_KE1_TEXT_OUTCOME_0,Text,,"As you step inside the crypt, alien thoughts are projected into your mind. You are *listening* to a *voice* you cannot *hear*.

<i>""Soon you will be contacted by string Subject integer twenty four. Accept proposal. Share data. Satisfactory outcome will lead to much preferred customer status. Beware of your Amygdala, it reeks of betrayal.""</i>

There is no Drop-Ka stone to be found, but you suspect that's not why you were sent here anyway.",,,,,,,,
DLC5/KEY_MARKETPLACE_ACCEPT_MISSION,Text,,ACCEPT ,,,,,,,,
DLC5/KEY_MARKETPLACE_LOCATE_MISSION,Text,,DO NOT TRY SOL'S PATIENCE,,,,,,,,
DLC5/KEY_MARKETPLACE_MISSION_AVAILABLE,Text,,NEW MISSION AVAILABLE,,,,,,,,
DLC5/KEY_MARKETPLACE_MISSION_IN_PROGRESS,Text,,DO AS SOL COMMANDS,,,,,,,,
DLC5/KEY_MARKETPLACE_NO_MISSIONS,Text,,SOL IS PLEASED,,,,,,,,
SDI_01_TEXT_GENERAL_0,Text,,"We are ready to share our preliminary findings regarding the new Pandoravirus outbreak.

The viral mist is an extremely unusual phenomenon. It is in fact a highly complex aerosol, capable of moving with deliberation and transporting viral DNA and other microbes.

It is our belief that the vast waves of mist that helped cause the destruction of civilization were generated underwater by gigantic, mutated structures. Each wave, including the current one (referred to by the population as the Third Mist) has slightly different properties.",,,,,,,,
SDI1_OUTCOME,Text,,"We have received reports of a variety of afflictions suffered by individuals who have traveled or reside in areas covered by the mist: tiredness, lack of energy, brain fog, anguish and sometimes hallucinations.

So far we can conclude the following:

1) Symptoms never fully disappear, but are negligible when the subjects are fully rested, and progressively become worse as they exert themselves. 
2) Symptoms get worse if the subject stays or returns to locations where mist is present. 

We have termed this condition ""Oneiric Delirium"", on account of the subjects complaining of nightmares, or ""crazy dreams"", with similar themes of monstrosities and smothering. 

<b>Our operatives can now be afflicted with a Delirium status of up to a third of their Willpower</b>",,,,,,,,
SDI_01_TITLE,Text,,The Third Mist,,,,,,,,
SDI6_OUTCOME,Text,,"The Oneiric Delirium grows stronger.

<b>Our operatives can now be afflicted with a Delirium status of up to half of their Willpower</b>",,,,,,,,
SDI16_OUTCOME,Text,,"The Oneiric Delirium grows stronger.

<b>Our operatives can now be afflicted with a Delirium status equal to their Willpower</b>",,,,,,,,
